participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time,is_correct,label
participant_22,Q14,Part 2,741.6405,806.26013,64.61963000000003,True,False,-15.682910000000703,True,False,1,NP
participant_22,Q15,Part 2,806.26013,828.39832,22.13819000000001,True,False,-7.538450000000111,True,False,1,NP
participant_22,Q2,Part 2,103.88533,235.7224,131.83706999999998,True,False,5.275629999999509,True,False,1,UP
participant_22,Q3,Part 2,235.7224,299.84653,64.12412999999998,True,False,-5.320869999999928,True,False,0,UP
participant_22,Q4,Part 1,299.84653,358.02859,58.182060000000035,True,False,2.085678749999964,True,False,1,NP
participant_22,Q5,Part 2,358.02859,409.00391,50.97532000000001,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_22,Q6,Part 2,409.00391,480.46918,71.46526999999998,True,False,-2.641577499999663,True,False,0,UP
participant_22,Q7,Part 1,480.46918,519.88281,39.413629999999955,True,False,9.099355000000855,True,False,1,NP
participant_22,Q8,Part 2,519.88281,543.59491,23.712100000000078,True,False,-13.50669250000017,True,False,0,UP
participant_22,Q9,Part 2,543.59491,593.26398,49.66906999999992,True,False,-43.915629999999766,True,False,0,UP
participant_23,Q1,Part 2,1042.33289,1214.07312,171.7402300000001,True,False,-50.36236749999948,True,False,1,NP
participant_23,Q10,Part 2,1927.76208,1987.13025,59.368169999999964,True,False,21.069950000000233,True,False,1,NP
participant_23,Q11,Part 1,1987.13025,2055.50757,68.37732000000028,True,False,-23.071896249999938,True,False,0,UP
participant_23,Q12,Part 1,2055.50757,2141.99072,86.48314999999957,True,False,-33.935123749999576,True,False,0,UP
participant_23,Q13,Part 2,2142.6936,2231.70215,89.00855000000001,True,False,-59.499320000000125,True,False,0,UP
participant_23,Q14,Part 2,2231.70215,2272.32812,40.62597000000005,True,False,-15.682910000000703,True,False,1,NP
participant_23,Q15,Part 2,2272.32812,2308.89502,36.566899999999805,True,False,-7.538450000000111,True,False,0,UP
participant_23,Q2,Part 2,1214.07312,1285.29675,71.22362999999996,True,False,5.275629999999509,True,False,1,NP
participant_23,Q3,Part 2,1285.29675,1462.32275,177.02600000000007,True,False,-5.320869999999928,True,False,0,UP
participant_23,Q4,Part 1,1462.32275,1507.16882,44.846070000000054,True,False,2.085678749999964,True,False,1,NP
participant_23,Q5,Part 2,1507.16882,1582.96143,75.79260999999997,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_23,Q6,Part 1,1582.96143,1679.8136,96.85216999999989,True,False,-16.519989999999503,True,False,1,NP
participant_23,Q7,Part 1,1679.8136,1760.74377,80.93017000000009,True,False,9.099355000000855,True,False,0,UP
participant_23,Q8,Part 2,1760.74377,1841.76807,81.02430000000004,True,False,-13.50669250000017,True,False,0,UP
participant_23,Q9,Part 2,1841.76807,1927.76208,85.99400999999989,True,False,-43.915629999999766,True,False,1,NP
participant_24,Q1,Part 2,2589.76978,2619.53979,29.77000999999973,True,False,-50.36236749999948,True,False,0,UP
participant_24,Q10,Part 2,2939.22217,3009.43628,70.21410999999989,True,False,21.069950000000233,True,False,0,UP
participant_24,Q11,Part 1,3009.43628,3037.07227,27.63599000000022,True,False,-23.071896249999938,True,False,0,UP
participant_24,Q12,Part 1,3037.07227,3073.7876,36.715329999999994,True,False,-33.935123749999576,True,False,1,NP
participant_24,Q13,Part 1,3073.7876,3097.42554,23.63794000000007,True,False,-36.89351500000005,True,False,0,UP
participant_24,Q14,Part 2,3097.42554,3128.21802,30.792479999999614,True,False,-15.682910000000703,True,False,0,UP
participant_24,Q15,Part 2,3128.21802,3164.77783,36.5598100000002,True,False,-7.538450000000111,True,False,0,UP
participant_24,Q2,Part 2,2619.53979,2670.64917,51.10938000000033,True,False,5.275629999999509,True,False,0,UP
participant_24,Q3,Part 1,2670.64917,2709.37231,38.72314000000006,True,False,22.222594999999387,True,False,0,UP
participant_24,Q4,Part 2,2709.37231,2740.22559,30.853279999999813,True,False,-13.903517500000689,True,False,0,UP
participant_24,Q5,Part 1,2740.22559,2770.79834,30.572749999999814,True,False,-17.558350000001838,True,False,0,NA_no_correct
participant_24,Q6,Part 2,2770.79834,2839.32202,68.52368000000024,True,False,-2.641577499999663,True,False,0,UP
participant_24,Q7,Part 2,2839.32202,2872.19775,32.87572999999975,True,False,-19.128347499999308,True,False,0,UP
participant_24,Q8,Part 2,2872.19775,2922.63037,50.43262000000004,True,False,-13.50669250000017,True,False,0,UP
participant_24,Q9,Part 2,2922.63037,2939.22217,16.59180000000015,True,False,-43.915629999999766,True,False,0,UP
participant_25,Q1,Part 1,3460.3855,3506.1958,45.8103000000001,True,False,-15.267338749999706,True,False,0,UP
participant_25,Q10,Part 2,3925.18823,3980.08813,54.89989999999989,True,False,21.069950000000233,True,False,0,UP
participant_25,Q11,Part 2,3980.08813,4035.1355,55.04736999999977,True,False,-40.907541250000634,True,False,0,UP
participant_25,Q12,Part 1,4035.1355,4072.96826,37.832760000000235,True,False,-33.935123749999576,True,False,0,UP
participant_25,Q13,Part 2,4072.96826,4129.97217,57.003909999999905,True,False,-59.499320000000125,True,False,0,UP
participant_25,Q14,Part 2,4129.97217,4182.64258,52.67040999999972,True,False,-15.682910000000703,True,False,1,NP
